title,authors,pages,doi,article_url,pdf_url
A Large Dataset of Spontaneous Speech with the Accent Spoken in São Paulo for Automatic Speech Recognition Evaluation,"Rodrigo Lima, Sidney E. Leal, Arnaldo Candido Junior, Sandra M. Aluísio",33-47,,https://sol.sbc.org.br/index.php/bracis/article/view/33550,https://sol.sbc.org.br/index.php/bracis/article/download/33550/33342
Aroeira: A Curated Corpus for the Portuguese Language with a Large Number of Tokens,"Thiago Lira, Flávio Cação, Cinthia Souza, João Valentini, Edson Bollis, Otavio Oliveira, Renato Almeida, Marcio Magalhães, Katia Poloni, Andre Oliveira, Lucas Pellicer",185-199,,https://sol.sbc.org.br/index.php/bracis/article/view/33560,https://sol.sbc.org.br/index.php/bracis/article/download/33560/33352
ERASMO: Leveraging Large Language Models for Enhanced Clustering Segmentation,"Fillipe dos Santos Silva, Gabriel Kenzo Kakimoto, Julio Cesar dos Reis, Marcelo S. Reis",414-429,,https://sol.sbc.org.br/index.php/bracis/article/view/33576,https://sol.sbc.org.br/index.php/bracis/article/download/33576/33368
Evaluating Large Language Models for Tax Law Reasoning,"João Paulo Cavalcante Presa, Celso Gonçalves Camilo Junior, Sávio Salvarino Teles de Oliveira",460-474,,https://sol.sbc.org.br/index.php/bracis/article/view/33579,https://sol.sbc.org.br/index.php/bracis/article/download/33579/33371
GovBERT-BR: A BERT-Based Language Model for Brazilian Portuguese Governmental Data,"Mariana O. Silva, Gabriel P. Oliveira, Lucas G. L. Costa, Gisele L. Pappa",19-32,,https://sol.sbc.org.br/index.php/bracis/article/view/33582,https://sol.sbc.org.br/index.php/bracis/article/download/33582/33374
"LLM-Driven Chest X-Ray Report Generation With a Modular, Reduced-Size Architecture","Talles Viana Vargas, Helio Pedrini, André Santanchè",199-211,,https://sol.sbc.org.br/index.php/bracis/article/view/33594,https://sol.sbc.org.br/index.php/bracis/article/download/33594/33386
Optimizing CleanUNet Architecture Parameters for Enhancing Speech Denoising,"Matheus Vieira da Silva, João Fernando Mari, André Ricardo Backes",254-264,,https://sol.sbc.org.br/index.php/bracis/article/view/33598,https://sol.sbc.org.br/index.php/bracis/article/download/33598/33390
Pseudonymization in Legal Texts According to the LGPD: A Named Entity Recognition Approach,"Marcelo Anselmo, Bruno César Ribas",309-323,,https://sol.sbc.org.br/index.php/bracis/article/view/33602,https://sol.sbc.org.br/index.php/bracis/article/download/33602/33394
ptt5-v2: A Closer Look at Continued Pretraining of T5 Models for the Portuguese Language,"Marcos Piau, Roberto Lotufo, Rodrigo Nogueira",324-338,,https://sol.sbc.org.br/index.php/bracis/article/view/33603,https://sol.sbc.org.br/index.php/bracis/article/download/33603/33395
Question Answering with Texts and Tables Through Deep Reinforcement Learning,"Marcos M. José, Flávio N. Cação, Maria F. Ribeiro, Rafael M. Cheang, Paulo Pirozelli, Fabio G. Cozman",339-353,,https://sol.sbc.org.br/index.php/bracis/article/view/33604,https://sol.sbc.org.br/index.php/bracis/article/download/33604/33396
Unsupervised Statistical Keyword Extraction Pipeline: Is LLM All You Need?,"Fernando Rezende Zagatti, Daniel Lucrédio, Helena de Medeiros Caseli",460-475,,https://sol.sbc.org.br/index.php/bracis/article/view/33612,https://sol.sbc.org.br/index.php/bracis/article/download/33612/33404
Using Complex Networks to Improve Legal Text Hierarchical Classification,"Rilder S. Pires, Raquel Silveira, Carlos G. O. Fernandes, João A. Monteiro Neto, Vasco Furtado",476-490,,https://sol.sbc.org.br/index.php/bracis/article/view/33613,https://sol.sbc.org.br/index.php/bracis/article/download/33613/33405
AnisotropicBreast-ViT: Breast Cancer Classification in Ultrasound Images Using Anisotropic Filtering and Vision Transformer,"João Otávio Bandeira Diniz, Neilson P. Ribeiro, Domingos A. Dias Jr., Luana B. da Cruz, Giovanni L. F. da Silva, Daniel L. Gomes Jr, Anselmo C. de Paiva, Aristófanes C. Silva",95-109,,https://sol.sbc.org.br/index.php/bracis/article/view/33620,https://sol.sbc.org.br/index.php/bracis/article/download/33620/33412
Evaluating Sentiment Quantification Methods in Brazilian Portuguese Corpora,"Lucas Nildaimon dos Santos Silva, Diego Furtado Silva, Helena de Medeiros Caseli",230-244,,https://sol.sbc.org.br/index.php/bracis/article/view/33629,https://sol.sbc.org.br/index.php/bracis/article/download/33629/33421
Evaluating Short Text Stream Clustering on Large E-commerce Datasets,"Cesar Andrade, Rita P. Ribeiro, João Gama",245-259,,https://sol.sbc.org.br/index.php/bracis/article/view/33630,https://sol.sbc.org.br/index.php/bracis/article/download/33630/33422
Scaling and Adapting Large Language Models for Portuguese Open Information Extraction: A Comparative Study of Fine-Tuning and LoRA,"Alan Melo, Bruno Cabral, Daniela Barreiro Claro",427-441,,https://sol.sbc.org.br/index.php/bracis/article/view/33643,https://sol.sbc.org.br/index.php/bracis/article/download/33643/33435
A Transformer-Based Tabular Approach to Detect Toxic Comments,"Ghivvago Damas, Rafael Torres Anchiêta, Raimundo Santos Moura, Vinicius Ponte Machado",18-30,,https://sol.sbc.org.br/index.php/bracis/article/view/33647,https://sol.sbc.org.br/index.php/bracis/article/download/33647/33439
Automatic Text Simplification for the Legal Domain in Brazilian Portuguese,"Francielle Vasconcellos Pereira, Ana Frazão, Viviane P. Moreira",31-45,,https://sol.sbc.org.br/index.php/bracis/article/view/33648,https://sol.sbc.org.br/index.php/bracis/article/download/33648/33440
Classifying Potentially Non-compliant Portuguese Language Sentences Concerning Privacy Policies,"Matheus Tocchini, Igor M. Rocha, Raphael M. de Barros, Jéssica O. e Silva, Ananda F. Garcia, Felipe Zular, Juliano Maranhão, Jaime Simão Sichman",107-121,,https://sol.sbc.org.br/index.php/bracis/article/view/33653,https://sol.sbc.org.br/index.php/bracis/article/download/33653/33445
Diversity in Data for Speech Processing in Brazilian Portuguese,"Giovana Meloni Craveiro, Julio Cesar Galdino",122-136,,https://sol.sbc.org.br/index.php/bracis/article/view/33654,https://sol.sbc.org.br/index.php/bracis/article/download/33654/33446
Gender-Neutral English to Portuguese Machine Translator: Promoting Inclusive Language,"Ricardo Trainotti Rabonato, Evangelos Milios, Lilian Berton",180-195,,https://sol.sbc.org.br/index.php/bracis/article/view/33658,https://sol.sbc.org.br/index.php/bracis/article/download/33658/33450
Tuning Hypothesis Creation: Combining Discrete and Continuous Spaces for Zero-Shot Hate Speech Detection,"Lorenzo Puppi Vecchi, Sylvio Barbon Junior, Emerson Cabrera Paraiso",253-268,,https://sol.sbc.org.br/index.php/bracis/article/view/33663,https://sol.sbc.org.br/index.php/bracis/article/download/33663/33455
